Bits;Y;U;V;ET
151160;41.2008;42.5675;44.2406;1.36
86536;40.0211;41.8835;43.7286;5.32
34920;38.5266;41.5363;43.5611;5.04
19552;38.2351;41.5802;43.5053;4.49
4816;37.7923;41.489;43.3594;3.04
4704;37.4565;41.1871;43.0657;3.26
