Bits;Y;U;V;ET
3907496;43.4503;45.8717;45.5834;52
3006152;42.5289;45.3031;45.1167;221.02
1895256;41.1106;44.7058;44.5976;236.99
1333272;40.4364;44.548;44.4511;230.73
612640;38.6773;44.5427;44.4232;198.04
