Bits;Y;U;V;ET
147968;41.7731;42.8562;44.5397;3.56
77280;40.4614;42.2563;44.1164;14.11
29056;38.8773;41.8247;43.9549;12.63
15760;38.6842;41.9332;44.0729;10.88
3928;38.2172;41.7284;43.8142;7.09
